name	chrom	h3k27me3_promoter_percentile	h3k27me3_body_percentile	h3k36me3_promoter_percentile	h3k36me3_body_percentile	predictions
A1BG	chr19	0.570134955597511	0.484126984126984	0.76484161946717	0.583945178658835	MAE
A1BG-AS1	chr19	0.545591217397385	0.697189007761695	0.726872246696035	0.782113138941333	BAE
A1CF	chr10	0.824767498776309	0.809314033983638	0.21886581357947	0.233759876931683	MAE
A2M	chr12	0.649919586042934	0.758723166212153	0.0667785469547584	0.233934689881826	MAE
A2M-AS1	chr12	0.866547793860569	0.906510034263338	0.116879938465842	0.37179218236487	MAE
A2ML1	chr12	0.794454933221453	0.824033284385707	0.242815187749108	0.334626949164394	MAE
A2MP1	chr12	0.865953429830082	0.871966995315013	0.290049646877841	0.35340186000979	MAE
A3GALT2	chr1	0.602405426193972	0.839102160688064	0.76221942521502	0.391546045731068	MAE
A4GALT	chr22	0.695895391930634	0.509929375568142	0.470176910705545	0.567163135445074	MAE
A4GNT	chr3	0.69442696314943	0.696454793371093	0.0820571987972869	0.129361583106077	MAE
AA06	chr17	0.778127403678064	0.834452136214251	0.268932242500524	0.398643451506888	MAE
AAAS	chr12	0.243899028039997	0.180406964547934	0.691664918537165	0.770925110132159	BAE
AACS	chr12	0.415740158030907	0.157296692538983	0.587895951332075	0.770330746101671	BAE
AACSP1	chr5	0.260436333123558	0.340920215369555	0.397035172365569	0.278861618068667	BAE
AADAC	chr3	0.814453534717852	0.774980770575484	0.317110691560031	0.274910845395427	MAE
AADACL2	chr3	0.53835396126145	0.635514998951122	0.0956576463184393	0.0597860289490245	MAE
AADACL2-AS1	chr3	0.650933501153765	0.682574645129711	0.37860988742046	0.330711139081183	MAE
AADACL3	chr1	0.735333193482973	0.736137333053633	0.0325501713166911	0.0849590937696665	MAE
AADACL4	chr1	0.711558632263478	0.717921823648696	0.413887140759387	0.170897140060136	MAE
AADACP1	chr3	0.651527865184253	0.662785819173484	0.27089014754213	0.103768967205091	MAE
AADAT	chr4	0.763373190685966	0.757534438151178	0.0264666806517027	0.13582966226138	MAE
AAED1	chr9	0.632228515488427	0.515348577022586	0.303265505908678	0.463079504929725	MAE
AAGAB	chr15	0.51681700580379	0.203866862457171	0.541395706593944	0.658555345780015	BAE
AAK1	chr2	0.217677085518495	0.271029997902245	0.666177190406265	0.64607370113978	BAE
AAMDC	chr11	0.28613383679463	0.347178518984686	0.630200685266765	0.596496748479127	BAE
AAMP	chr2	0.0810432836864555	0.112299839172086	0.858890986644291	0.799279770645409	BAE
AANAT	chr17	0.221697783371792	0.376861757919027	0.556569470666387	0.150968463743794	BAE
AAR2	chr20	0.413083001188728	0.129781134186421	0.755506607929515	0.868016222641773	BAE
AARD	chr8	0.847807845605202	0.795433885742256	0.231906859660164	0.12139011257954	MAE
AARS	chr16	0.866303055730368	0.251625760436333	0.766449898608489	0.903852877421159	BAE
AARS2	chr6	0.542934060555206	0.186000978952521	0.796063212362772	0.77693867561709	BAE
AARSD1	chr17	0.0155233899727292	0.0308020418152577	0.761799874134676	0.807810642612405	BAE
